lugar de interes,distancia min,estacion bici max,direccion de lugar de interes,bicis disponibles
Centro Cultural Antonio Machado (San Blas - Canillejas),2391.189670234746,Calle Gutierre de Cetina nº 77,CALLE SAN ROMAN DEL VALLE 8,6
Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),2099.089170714419,Calle Gutierre de Cetina nº 77,AVENIDA ARCENTALES 4,6
Centro Cultural Buenavista (Salamanca),59.160983387390026,Avenida de los Toreros nº 3,AVENIDA TOREROS 5,5
Centro Cultural Buero Vallejo (San Blas - Canillejas),3553.3667534721626,Calle Gutierre de Cetina nº 77,CALLE BOLTAÑA 27,6
Centro Cultural Carril del Conde (Hortaleza),2004.3185157406474,Calle Condesa de Venadito nº 2,CALLE CARRIL DEL CONDE 57,12
Centro Cultural Casa de Vacas (Retiro),235.40703014442803,Calle Alcalá nº 95,PASEO COLOMBIA 1,6
Centro Cultural Casa del Reloj (Arganzuela),290.46907641679246,Calle Jaime el Conquistador nº 30,PASEO CHOPERA 6,15
Centro Cultural Ciudad Pegaso (San Blas - Canillejas),5219.584875749767,Calle Gutierre de Cetina nº 77,AVENIDA SEPTIMA 11,6
Centro Cultural Clara del Rey - Museo ABC (Centro),101.26266165549646,Calle Conde Duque nº 22,CALLE AMANIEL 29,23
Centro Cultural Dotacional Integrado Arganzuela,139.66120080635244,Calle Palos de la Frontera nº 27,CALLE CANARIAS 17,8
Centro Cultural Eduardo Úrculo (Tetuán),666.3277551012181,Calle Azucenas nº 1,PLAZA DONOSO 5,12
